Season,Team,Rel_Pace,Rel_ORtg,Rel_DRtg,Playoffs,Age,Ht.,Wt.,FGA,FG%,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Predicted,Error
2016-17,Atlanta Hawks,1.0,-3.9,-3.1,1.0,1.3129999999999988,-0.043999999999999595,-0.8000000000000114,-85.83299999999963,-0.006000000000000005,-77.06700000000001,-0.01599999999999996,-8.766999999999825,-0.0030000000000000027,143.83300000000008,-0.04400000000000004,10.767000000000053,56.0329999999999,82.66699999999992,40.33299999999997,8.033000000000015,150.0,-140.66699999999992,-199.4330000000009,1.0,0.0
2015-16,Atlanta Hawks,1.3,-1.3,-5.0,2.0,1.5629999999999988,-0.043999999999999595,-3.3329999999999984,-11.966999999999643,0.006000000000000005,351.29999999999995,-0.0030000000000000027,-363.2669999999998,0.020000000000000018,-277.63300000000004,0.025000000000000022,-175.13300000000004,37.9670000000001,272.26700000000005,103.56700000000001,79.56700000000001,46.5329999999999,-91.79999999999995,13.933000000000902,1.0,1.0
2014-15,Atlanta Hawks,0.0,3.3,-2.5,3.0,1.0530000000000008,-0.043999999999999595,0.3669999999999902,-153.33299999999963,0.017000000000000015,314.0999999999999,0.031000000000000028,-467.433,0.020000000000000018,-138.26700000000005,0.027000000000000024,-177.70000000000005,-46.43299999999999,304.26700000000005,109.63300000000004,-13.233000000000004,-10.067000000000007,-200.5999999999999,207.83300000000054,1.0,2.0
2013-14,Atlanta Hawks,0.7,-0.8,-0.3,1.0,1.0600000000000023,-0.0389999999999997,2.5670000000000073,-117.73300000000017,0.0030000000000000027,350.20000000000005,0.0040000000000000036,-467.933,0.013000000000000012,-152.29999999999995,0.02400000000000002,-181.86699999999996,-45.5,236.63300000000004,50.16700000000003,-60.466999999999985,49.86699999999996,-120.43299999999999,-0.7330000000001746,1.0,0.0
2012-13,Atlanta Hawks,0.6,-1.1,-1.5,1.0,0.4400000000000013,-0.03300000000000036,-3.0670000000000073,-76.30000000000018,0.01100000000000001,265.433,0.013000000000000012,-341.7330000000002,0.017000000000000015,-198.76700000000005,-0.038000000000000034,-157.20000000000005,55.69999999999982,193.16699999999992,24.732999999999947,-51.733000000000004,26.767000000000053,-152.83300000000008,-8.766999999999825,1.0,0.0
2011-12,Atlanta Hawks,-1.1,0.3,-3.4,1.0,1.3200000000000003,0.05799999999999983,-3.6670000000000016,-26.16700000000037,0.006000000000000005,116.83300000000008,0.02300000000000002,-143.0,0.0050000000000000044,-97.40000000000009,-0.013000000000000012,-98.39999999999998,32.63300000000004,96.56700000000001,29.333000000000027,-33.19999999999999,-41.0,-113.4670000000001,21.86700000000019,1.0,0.0
2010-11,Atlanta Hawks,-2.8,-1.2,-0.3,2.0,0.8069999999999986,0.04400000000000048,0.2669999999999959,-230.66700000000037,0.0030000000000000027,-50.09999999999991,-0.0040000000000000036,-180.567,0.006000000000000005,-269.9000000000001,0.016000000000000014,-132.79999999999995,-39.06700000000001,39.09999999999991,-103.76700000000005,-57.86700000000002,-50.833000000000084,-144.433,-373.1329999999998,1.0,1.0
2009-10,Atlanta Hawks,-2.6,4.3,-0.9,2.0,-0.10699999999999932,0.03900000000000059,0.6330000000000098,101.36700000000019,0.007000000000000006,-32.40000000000009,0.007000000000000006,133.76699999999983,0.0040000000000000036,-98.56700000000001,0.0,70.5,-71.83300000000008,47.06700000000001,0.03300000000001546,14.766999999999996,-186.067,-78.29999999999995,101.33300000000054,1.0,1.0
2008-09,Atlanta Hawks,-2.1,1.0,-0.7,2.0,-0.7629999999999981,-0.03599999999999959,0.967000000000013,-184.1329999999998,-0.0010000000000000009,146.9000000000001,0.0010000000000000009,-331.03300000000036,0.0050000000000000044,56.36699999999996,-0.03400000000000003,-35.23299999999995,-68.9670000000001,-63.166999999999916,6.899999999999977,-17.899999999999977,-102.63300000000004,-115.5,-149.96700000000055,1.0,1.0
2007-08,Atlanta Hawks,-1.3,-0.6,1.4,1.0,-2.580000000000002,0.03900000000000059,2.1670000000000016,-131.3670000000002,-0.0030000000000000027,-406.79999999999995,-0.0040000000000000036,275.433,-0.01200000000000001,181.567,0.016000000000000014,89.63300000000004,-70.0,20.4670000000001,3.4329999999999927,59.63299999999998,65.70000000000005,-50.63300000000004,-139.70000000000073,1.0,0.0
1998-99,Atlanta Hawks,-3.6,-1.7,-5.1,2.0,1.7000000000000028,0.06300000000000061,1.516999999999996,-149.6210000000001,-0.028000000000000025,-13.93100000000004,-0.030000000000000027,-135.69000000000005,-0.027000000000000024,132.3789999999999,0.0030000000000000027,46.690000000000055,45.72399999999993,-254.2070000000001,-71.69,11.861999999999995,-21.240999999999985,-123.55199999999991,-264.03399999999965,1.0,1.0
1997-98,Atlanta Hawks,-2.6,3.2,-0.7,1.0,1.7240000000000002,0.057000000000000384,0.3100000000000023,-183.75900000000001,0.0040000000000000036,-26.448000000000093,-0.011999999999999955,-157.3100000000004,0.007000000000000006,159.0340000000001,0.019000000000000017,35.896999999999935,80.27599999999984,-237.414,-34.690000000000055,75.06900000000002,-55.759000000000015,-166.17200000000003,23.13799999999992,1.0,0.0
1996-97,Atlanta Hawks,-3.3,1.8,-4.4,2.0,1.1210000000000022,0.05400000000000027,2.1030000000000086,-196.24099999999999,-0.009000000000000008,456.655,-0.0010000000000000009,-652.8969999999999,0.0010000000000000009,-123.30999999999995,0.025000000000000022,-17.621000000000095,19.552000000000135,-250.7929999999999,29.06899999999996,24.44799999999998,-56.55199999999991,-222.86200000000008,-171.96600000000035,1.0,1.0
